X,Artist,Followers,Genres,NumAlbums,YearFirstAlbum,Gender,Group.Solo
552,Radiohead,4596887,"alternative rock,art rock,melancholia,modern rock,oxford indie,permanent wave,rock",13,1993,M,Group
553,R.E.M.,2076000,"alternative rock,permanent wave,pop rock,rock",20,1983,M,Group
554,Wyclef Jean,200889,"pop,rap kreyol",14,1997,M,Solo
555,Aly & AJ,317553,"dance pop,electropop,girl group,indie poptimism,neo mellow,pop,post-teen pop",5,2005,F,Group
556,Santana,1255107,"blues rock,classic rock,rock",34,1969,M,Solo
557,Baby Bash,449588,"chicano rap,dance pop,dirty south rap,gangster rap,hip hop,hip pop,latin hip hop,pop rap,rap,southern hip hop,urban contemporary",22,2002,M,Solo
558,Celine Dion,2903347,"canadian pop,dance pop",30,1987,F,Solo
559,Josh Groban,478265,operatic pop,10,2001,M,Solo
560,Lenny Kravitz,1679889,"permanent wave,pop rock,rock",12,1989,M,Solo
561,DragonForce,524582,"metal,power metal,progressive metal,speed metal",14,2003,M,Group
562,Alvin And The Chipmunks,75738,children's music,22,1959,,Group
563,Feist,534848,"art pop,canadian indie,canadian pop,chamber pop,folk-pop,freak folk,indie folk,indie pop,indie rock,indietronica,slow core",6,2004,F,Solo
564,Chingy,442940,"crunk,dance pop,dirty south rap,gangster rap,hip hop,hip pop,pop rap,rap,southern hip hop,urban contemporary",11,2003,M,Solo
565,Juanes,2507501,"colombian pop,cumbia,dance pop,latin,latin pop,mexican pop,pop,rock en espanol,tropical",14,2000,M,Solo
566,Yandel,3772783,"latin,latin hip hop,latin pop,pop,reggaeton,reggaeton flow,tropical",6,2003,M,Solo
567,Hurricane Chris,156848,"deep southern trap,dirty south rap,pop rap,rap,southern hip hop,trap music",4,2007,M,Solo
568,Elliott Yamin,73177,,6,2007,M,Solo
569,Serj Tankian,511819,"alternative metal,nu metal,post-grunge",5,2007,M,Solo
570,Kat DeLuna,419525,"dance pop,electropop,post-teen pop",3,2007,F,Solo
571,Cupid,20638,kids dance party,9,2002,M,Solo
572,Down A.K.A. Kilo,775,,5,1998,M,Solo
573,Nelly Furtado,1681939,"canadian latin,canadian pop,dance pop,pop,pop rock",9,2000,F,Solo
574,Yung Joc,377517,"atl hip hop,crunk,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",6,2006,M,Solo
575,Eve,578827,"dance pop,hip hop,hip pop,philly rap,pop,pop rap,r&b,rap,southern hip hop,urban contemporary",4,1999,F,Solo
576,Tracy Lawrence,467395,"arkansas country,contemporary country,country,country gospel,country road,country rock,outlaw country,traditional country",17,1991,M,Solo
577,The White Stripes,1905477,"alternative rock,blues rock,garage rock,indie rock,modern blues rock,modern rock,permanent wave,punk blues,rock",7,1999,,Group
578,Emerson Drive,146243,"alberta country,canadian contemporary country,canadian country,contemporary country,country,country road,modern country rock",8,2002,M,Group
579,Huey Lewis and the News,661582,"album rock,classic rock,dance rock,folk rock,mellow gold,new wave pop,pop rock,rock,soft rock",11,1980,,Group
580,Bone Thugs-N-Harmony,1259967,"gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop",25,1994,M,Group
581,Bobby Valentino,481244,"dance pop,hip pop,new jack swing,pop rap,r&b,southern hip hop,urban contemporary",8,2005,M,Solo
582,Unk,105466,"atl hip hop,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",3,2006,M,Solo
583,Crime Mob,193892,"atl hip hop,crunk,dirty south rap,gangster rap,hip pop,pop rap,rap,southern hip hop,trap music",4,2004,,Group
584,Dashboard Confessional,374428,"emo,modern rock,neo mellow,pop punk,pop rock",15,2000,M,Group
585,The Smashing Pumpkins,2374286,"alternative metal,alternative rock,grunge,modern rock,permanent wave,pop rock,post-grunge,rock",9,1991,M,Group
586,Ozzy Osbourne,2382209,"album rock,birmingham metal,classic rock,hard rock,metal,rock",11,1980,M,Solo
587,Blake Lewis,10226,idol,4,2007,M,Solo
588,The Red Jumpsuit Apparatus,775544,"emo,pop punk,pop rock,post-grunge,screamo",6,2006,M,Group
589,India.Arie,519953,"neo soul,r&b,urban contemporary",9,2001,F,Solo
590,Katharine McPhee,102946,"idol,post-teen pop",7,2006,F,Solo
591,Paul Wall,397930,"crunk,dirty south rap,gangster rap,hip hop,houston rap,pop rap,rap,southern hip hop,trap music",27,2004,M,Solo
592,Lumidee,43357,hip pop,4,2003,F,Solo
593,Incubus,2000219,"alternative metal,alternative rock,funk metal,funk rock,modern rock,nu metal,pop rock,post-grunge,rap rock,rock",13,1997,M,Group
594,Joe,676803,"dance pop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,hip pop,pop,pop rap,rap,trap music",13,1993,M,Solo
595,Pretty Ricky,825641,"dance pop,deep pop r&b,hip hop,hip pop,miami hip hop,pop rap,r&b,rap,southern hip hop,trap music,urban contemporary",7,2005,M,Group
596,Rich Boy,144768,"alabama rap,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",3,2007,M,Solo
597,Blue October,243611,"alternative metal,neo mellow,pop rock,post-grunge,san marcos tx indie",14,1998,M,Group
598,Young Buck,521562,"crunk,dirty south rap,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop,trap music",57,2004,M,Solo
599,Brandi Carlile,354380,"acoustic pop,folk,folk-pop,indie folk,lilith,neo mellow,new americana,pop rock",10,2005,F,Solo
600,Bjork,996762,"alternative dance,art pop,chamber pop,electronica,electropop,experimental pop,icelandic experimental,icelandic pop,metropopolis,permanent wave,pop rock,trip hop",43,1990,F,Solo
601,Good Charlotte,1520483,"alternative metal,modern rock,pop punk,pop rock,post-grunge",10,2001,M,Group
602,Modest Mouse,964761,"alternative rock,garage rock,indie folk,indie pop,indie rock,modern rock,pop rock,stomp and holler,washington indie",9,1992,M,Group
603,Marques Houston,453869,"dance pop,deep pop r&b,hip pop,new jack swing,pop rap,r&b,urban contemporary",7,2003,M,Solo
604,Hellogoodbye,149345,"indie pop,modern rock,neon pop punk,pop emo,pop punk",12,2006,,Group
605,Joss Stone,756519,"british soul,neo soul",8,2003,F,Solo
606,Regina Spektor,1007043,"chamber pop,folk-pop,indie folk,indie pop,lilith,piano rock,pop rock",8,2004,F,Solo
607,The Fratellis,523315,"alternative rock,dance-punk,garage rock,indie rock,modern rock,pop rock,rock,scottish rock",7,2006,M,Group
608,Nine Inch Nails,1308727,"alternative metal,alternative rock,cyberpunk,electronic rock,industrial,industrial metal,industrial rock,modern rock,nu metal,post-grunge,rock",22,1989,M,Group
609,Dixie Chicks,823592,"contemporary country,country,country dawn",8,1998,F,Group
610,Korn,3317932,"alternative metal,funk metal,nu metal,post-grunge,rap metal,rap rock,rock",14,1994,M,Group
611,KT Tunstall,244211,"folk-pop,lilith,neo mellow,pop rock,scottish singer-songwriter",9,2005,F,Solo
612,Corinne Bailey Rae,480821,"british soul,neo mellow,neo soul,soul",4,2006,F,Solo
613,Norah Jones,1981134,"adult standards,neo mellow",15,2002,F,Solo
614,Stone Sour,1630318,"alternative metal,groove metal,nu metal,post-grunge,rap rock,rock",7,2002,M,Group
615,Lil Scrappy,382437,"atl hip hop,crunk,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music,wrestling",14,2006,M,Solo
616,The Shins,883556,"albuquerque indie,alternative rock,chamber pop,folk-pop,garage rock,indie folk,indie pop,indie rock,indietronica,modern rock,pop rock,portland indie,stomp and holler",6,2001,M,Group
617,The Wreckers,54751,"candy pop,contemporary country,country,country dawn",3,2006,F,Group
618,Petey Pablo,241536,"crunk,dirty south rap,gangster rap,hip pop,nc hip hop,pop rap,southern hip hop",4,2001,M,Solo
619,Flogging Molly,443438,"bow pop,celtic punk,celtic rock,comic,punk,skate punk",9,2000,,Group
620,Cartel,4711139,"latin hip hop,mexican hip hop",9,2002,M,Group
621,Ca$his,37226,,8,2011,M,Solo
622,AFI,540195,"alternative metal,emo,pop punk,punk,screamo,skate punk",13,1995,M,Group
623,Lady Sovereign,35769,,4,2005,F,Solo
624,Sarah McLachlan,462695,"canadian pop,canadian singer-songwriter,ectofolk,folk,folk-pop,lilith,neo mellow,new wave pop,permanent wave,pop rock",21,1989,F,Solo
625,Lonestar,689321,"contemporary country,country,country road",11,1995,M,Group
626,Brooke Hogan,52597,post-teen pop,3,2006,F,Solo
627,Ying Yang Twins,516777,"atl hip hop,crunk,dance pop,dirty south rap,gangster rap,hip hop,hip pop,pop rap,rap,southern hip hop,trap music",13,2000,M,Group
628,Lyfe Jennings,612968,"deep pop r&b,hip pop,neo soul,new jack swing,r&b,southern hip hop,urban contemporary",7,2004,M,Solo
629,Lionel Richie,1408943,"adult standards,disco,mellow gold,motown,quiet storm,soft rock",18,1982,M,Solo
630,Chris Cornell,1057677,"alternative metal,alternative rock,grunge,post-grunge,rock",8,1999,M,Solo
631,Bowling For Soup,658472,"comic,pop punk,pop rock,post-grunge,texas pop punk",26,1996,M,Group
632,Alejandro Sanz,3546356,"cantautor,latin,latin arena pop,latin pop,mexican pop,rock en espanol,spanish pop,tropical",30,1993,M,Solo
633,Ruben Studdard,73296,"gospel r&b,neo soul,new jack swing,r&b,urban contemporary",7,2003,M,Solo
634,Toby Love,315202,"bachata,latin,latin hip hop,reggaeton,tropical",7,2006,M,Solo
635,John Mellencamp,659050,"album rock,classic rock,folk rock,heartland rock,mellow gold,pop rock,rock,singer-songwriter,soft rock",29,1976,M,Solo
636,Young Dro,460673,"atl hip hop,crunk,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",28,2006,M,Solo
637,Nick Lachey,104032,,3,2003,M,Solo
638,The Raconteurs,561273,"alternative rock,garage rock,indie rock,modern blues rock,modern rock,rock",3,2006,M,Group
639,Cham,59016,"dancehall,old school dancehall,reggae fusion,riddim,soca",4,2006,M,Solo
640,Brown Boy,54960,"chicano rap,latin hip hop",8,2003,M,Solo
641,Paulina Rubio,1388348,"dance pop,latin,latin arena pop,latin pop,mexican pop,pop",30,1992,F,Solo
642,Kelis,294731,"dance pop,electropop,hip pop,neo soul,r&b,urban contemporary",8,1999,F,Solo
643,Daniel Powter,163583,"canadian pop,neo mellow,pop rock",8,2005,M,Solo
644,The Pack,16322,hyphy,5,2006,M,Group
645,Keane,1662997,"neo mellow,piano rock,pop rock,rock",8,2004,M,Group
646,The Cheetah Girls,408142,"dance pop,disney,girl group,pop,post-teen pop",9,2004,F,Group
647,Field Mob,116173,"atl hip hop,dirty south rap,gangster rap,pop rap,southern hip hop,trap music",5,2000,M,Group
648,OutKast,1197589,"atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop",7,1994,M,Solo
649,Anna Nalick,98076,"acoustic pop,folk-pop,lilith,neo mellow",3,2005,F,Solo
650,Taking Back Sunday,619431,"emo,modern rock,pop punk",13,2002,M,Group
651,Pharrell,2900721,"pop,pop rap",4,2006,M,Solo
652,Jeannie Ortega,1442,hip pop,3,2006,F,Solo
653,Taylor Hicks,6677,idol,5,2006,M,Solo
654,Audioslave,2385709,"alternative metal,alternative rock,nu metal,permanent wave,post-grunge,rock",3,2002,M,Group
655,Lustra,17329,pop punk,4,2001,M,Group
656,Angels,387528,"emo,pop rock,socal pop punk",9,2006,M,Solo
657,Airwaves,387528,"emo,pop rock,socal pop punk",9,2006,F,Solo
658,Ken,356361,"latin,latin hip hop,reggaeton,reggaeton flow,tropical",3,2006,M,Solo
659,Anthony Hamilton,863265,"neo soul,new jack swing,quiet storm,r&b,soul,urban contemporary",9,2003,M,Solo
660,LeAnn Rimes,616286,"contemporary country,country,country dawn,dance pop,pop rock",18,1996,F,Solo
661,Tom Petty,1011430,"album rock,classic rock,folk rock,heartland rock,mellow gold,pop rock,rock,roots rock,singer-songwriter,soft rock",4,1989,M,Solo
662,Dem Franchize Boyz,196136,"atl hip hop,crunk,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",4,2004,M,Group
663,Kenny Rogers,923636,"adult standards,country,mellow gold,nashville sound,soft rock,traditional country",59,1970,M,Solo
664,Saving Jane,12113,candy pop,7,2005,,Group
665,Christina Milian,703000,"dance pop,europop,hip pop,r&b,urban contemporary",3,2001,F,Solo
666,Bo Bice,9944,idol,3,2005,M,Solo
667,Teddy Geiger,28862,"acoustic pop,la pop,neo mellow,pop rock,transpop",5,1980,F,Solo
668,Ice Cube,3163810,"conscious hip hop,g funk,gangster rap,hardcore hip hop,hip hop,rap,west coast rap",11,1990,M,Solo
669,Jagged Edge,1044712,"atl hip hop,dance pop,hip hop,hip pop,neo soul,new jack swing,pop rap,quiet storm,r&b,rap,southern hip hop,urban contemporary",11,1997,M,Group
670,Ghostface Killah,450049,"alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,southern hip hop",30,1996,M,Solo
671,Heather Headley,37903,"neo soul,r&b",6,2002,F,Solo
672,The Afters,166400,"anthem worship,ccm,christian alternative rock,christian music,christian pop,christian rock,indiecoustica,world worship,worship",7,2005,M,Group
673,Godsmack,1524237,"alternative metal,groove metal,nu metal,post-grunge,rap metal,rap rock,rock",11,1998,M,Group
674,Sting,1486436,"permanent wave,soft rock",25,1985,M,Solo
675,Yeah Yeah Yeahs,828638,"alternative dance,alternative rock,art pop,dance-punk,folk-pop,garage rock,indie pop,indie rock,indietronica,modern rock,new rave,pop rock,rock",5,2003,,Group
676,Juvenile,546762,"bounce,crunk,dirty south rap,gangster rap,hip hop,new orleans rap,pop rap,rap,southern hip hop,trap music",19,1994,M,Solo
677,Juelz Santana,391265,"gangster rap,hardcore hip hop,hip hop,nyc rap,pop rap,rap,trap music",3,2003,M,Solo
678,Lil Rob,202653,"chicano rap,g funk,gangster rap,latin hip hop,san diego rap",16,1997,M,Solo
679,10 Years,347803,"alternative metal,christian rock,nu metal,post-grunge,rap rock",8,2005,M,Group
680,The Notorious B.I.G.,4409816,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap",3,1994,M,Solo
681,Relient K,262409,"canadian ccm,christian alternative rock,christian music,christian punk,christian rock,indiecoustica,neo mellow,pop punk,pop rock",10,2000,,Group
682,Willie Nelson,945285,"country,nashville sound,outlaw country,singer-songwriter,texas country,traditional country",112,1962,M,Solo
683,High School Musical Cast,1026890,"dance pop,hollywood,pop,post-teen pop",5,2006,,Group
684,P.O.D.,1065466,"alternative metal,funk metal,nu metal,post-grunge,rap metal,rap rock",12,1994,M,Group
685,Trina,472433,"deep pop r&b,hip pop,miami hip hop,pop,pop rap,r&b,rap,rap latina,southern hip hop,trap music,trap queen",14,2000,F,Solo
686,System Of A Down,5507141,"alternative metal,nu metal,post-grunge,rap metal,rock",7,1998,M,Group
687,YoungBloodZ,259758,"atl hip hop,crunk,dirty south rap,gangster rap,pop rap,rap,southern hip hop",5,1990,M,Group
688,Frankie J,295122,"dance pop,r&b,urban contemporary",10,2003,M,Solo
689,INXS,1157358,"australian rock,dance rock,funk rock,mellow gold,new romantic,new wave,new wave pop,pop rock,rock,soft rock",19,1980,,Group
690,Cristian Castro,1218312,"latin,latin arena pop,latin pop,rock en espanol,tropical",37,1997,M,Solo
691,Lil' Kim,786227,"dance pop,east coast hip hop,escape room,hip hop,hip pop,pop,pop rap,r&b,rap,southern hip hop,trap queen,urban contemporary",5,1996,F,Solo
692,Cheap Trick,658140,"album rock,art rock,classic rock,dance rock,glam metal,glam rock,hard rock,heartland rock,mellow gold,new wave pop,pop rock,power pop,rock,soft rock",24,1977,M,Group
693,The Click Five,135116,"boy band,neo mellow,neon pop punk,pixie,pop emo,pop punk,pop rock",5,2005,M,Group
694,Neal McCoy,202913,"contemporary country,country,country road,country rock,modern country rock",15,1990,M,Solo
695,Jamie O'Neal,62694,"contemporary country,country,country dawn,country road",3,2000,F,Solo
696,Switchfoot,478291,"ccm,christian alternative rock,christian music,christian rock,neo mellow,pop rock,post-grunge,worship",16,1997,M,Group
697,Depeche Mode,2559255,"dance rock,new romantic,new wave,permanent wave,synthpop",24,1981,M,Group
698,Ryan Cabrera,47787,"neo mellow,pop rock",5,2004,M,Solo
699,Franz Ferdinand,1610675,"alternative rock,dance-punk,garage rock,indie pop,indie rock,modern rock,new rave,rock,scottish rock",10,2004,M,Group
700,Gretchen Wilson,444587,"contemporary country,country,country dawn,country road",10,2004,F,Solo
701,The Strokes,2883049,"alternative rock,garage rock,indie pop,indie rock,modern rock,permanent wave,rock",5,2001,M,Group
702,"Damian ""Jr. Gong"" Marley",990741,"reggae,reggae fusion",6,1996,M,Solo
703,Trisha Yearwood,563642,"contemporary country,country,country dawn,country road",16,1991,F,Solo
704,Tony Yayo,148081,southern hip hop,3,2005,M,Solo
705,Teairra Mari,151159,"deep pop r&b,hip pop,r&b,urban contemporary",3,2005,F,Solo
706,Crazy Frog,145948,eurodance,6,2005,,
707,Van Zant,22558,"country rock,southern rock",6,1985,M,Solo
708,Jermaine Dupri,186717,"atl hip hop,dirty south rap,hip hop,hip pop,pop rap,rap,southern hip hop",4,1998,M,Solo
709,Howie Day,213232,"acoustic pop,neo mellow,pop rock",5,2003,M,Solo
710,Webbie,553047,"baton rouge rap,crunk,deep southern trap,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",12,2005,M,Solo
711,Will Smith,587137,hip hop,4,1997,M,Solo
712,Boyz N Da Hood,254273,"atl hip hop,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",3,2005,M,Group
713,SHeDAISY,172832,"contemporary country,country,country dawn,country road",6,1999,F,Group
714,Kem,409636,"funk,neo soul,new jack swing,quiet storm,r&b,soul,urban contemporary",6,2003,,
715,Beck,985805,"alternative rock,anti-folk,garage rock,indie rock,modern rock,permanent wave,pop rock,rock",13,1994,M,Solo
716,Reba McEntire,974392,"contemporary country,country,country dawn",40,1977,F,Solo
717,Cassidy,301766,"battle rap,hip hop,hip pop,philly rap,pop rap,rap,southern hip hop,trap music",14,2004,M,Solo
718,Trick Daddy,479747,"crunk,dirty south rap,gangster rap,hip hop,hip pop,miami hip hop,pop rap,rap,southern hip hop,trap music",15,1997,M,Solo
719,The Bravery,156463,"dance-punk,garage rock,indie pop,indie rock,modern rock,new rave",5,2005,,Group
720,Jo Dee Messina,342231,"contemporary country,country,country dawn,country road",9,1996,F,Solo
721,Amerie,455826,"alternative r&b,dance pop,deep pop r&b,hip hop,hip pop,neo soul,r&b,urban contemporary",6,2002,F,Solo
722,Faith Evans,687598,"dance pop,hip hop,hip pop,neo soul,new jack swing,quiet storm,r&b,urban contemporary",10,1995,F,Solo
723,Trillville,141368,"atl hip hop,crunk,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",3,2008,M,Group
724,Jet,368025,"garage rock,modern rock,post-grunge,rock",7,2003,M,Group
725,Andy Griggs,48901,"contemporary country,country,country road,modern country rock",4,1999,M,Solo
726,Mudvayne,850117,"alternative metal,groove metal,industrial metal,industrial rock,melodic metalcore,nu metal,post-grunge,rap metal,rap rock",8,1997,M,Group
727,Nivea,358769,"atl hip hop,deep pop r&b,hip pop,r&b,urban contemporary",3,2001,F,Solo
728,Caesars,47469,"swedish alternative rock,swedish indie rock",7,1998,M,Group
729,Queens Of The Stone Age,2008411,"alternative metal,alternative rock,blues rock,garage rock,modern rock,nu metal,palm desert scene,post-grunge,rock,stoner metal,stoner rock",9,1998,M,Group
730,Billy Dean,62986,"country,country road",16,1990,M,Solo
731,Stevie Wonder,3808641,"motown,quiet storm,soul",30,1962,M,Solo
732,Ben Folds,193518,"folk-pop,indie pop,modern rock,permanent wave,piano rock,pop rock",14,1998,M,Solo
733,Garbage,627272,"alternative dance,alternative rock,dance pop,electronic rock,lilith,permanent wave,pop rock,post-grunge,rock",8,1995,,Group
734,The Mars Volta,350852,"alternative metal,alternative rock,el paso indie,garage rock,modern rock,rock",6,2003,M,Group
735,The East Side Boyz,343440,"atl hip hop,crunk,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",5,2001,M,Group
736,Simple Plan,2214166,"canadian pop punk,canadian punk,canadian rock,pop punk,pop rock,post-grunge",7,2004,M,Solo
737,Ja Rule,899730,"dance pop,east coast hip hop,gangster rap,hip hop,hip pop,pop rap,rap,urban contemporary",8,1999,M,Solo
738,Cam'Ron,334395,"battle rap,east coast hip hop,gangster rap,hardcore hip hop,hip hop,hip pop,pop rap,rap,southern hip hop,trap music",11,1998,M,Solo
739,Jimmy Eat World,890876,"modern rock,neo mellow,pop punk,pop rock,post-grunge",8,1996,M,Group
740,Jadakiss,536704,"battle rap,east coast hip hop,gangster rap,hardcore hip hop,hip hop,hip pop,pop rap,rap,trap music",11,2001,M,Solo
741,Chevelle,962017,"alternative metal,alternative rock,christian rock,nu metal,post-grunge,rap rock,rock",10,1999,M,Group
742,Monchy,373093,"bachata,latin,tropical",14,2004,M,Solo
743,Patti LaBelle,445160,"disco,funk,motown,neo soul,new jack swing,philly soul,post-disco,quiet storm,r&b,soul,urban contemporary",31,1971,F,Solo
744,Guerilla Black,9506,west coast rap,3,2004,M,Solo
745,Daryl Hall John Oates,965517,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",25,1972,M,Group
746,2Pac,7077072,"g funk,gangster rap,hip hop,rap,west coast rap",20,1991,M,Solo
747,The Alchemist,124214,"alternative hip hop,boom bap,hardcore hip hop,hip hop,southern hip hop,underground hip hop,west coast rap",15,2004,M,Solo
748,N.O.R.E.,176102,"gangster rap,hardcore hip hop,hip hop,hip pop,pop rap,rap,southern hip hop",13,1998,M,Solo
749,Teena Marie,286819,"classic soul,disco,funk,motown,neo soul,new jack swing,post-disco,quiet storm,r&b,soul,urban contemporary",16,1979,F,Solo
750,Mannie Fresh,105744,"bounce,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",3,2004,M,Solo
751,Crossfade,451287,"alternative metal,nu metal,post-grunge,rap rock",3,2004,M,Group
752,Anita Baker,554709,"funk,motown,neo soul,new jack swing,quiet storm,r&b,smooth jazz,soul,urban contemporary",5,1986,F,Solo
753,Xzibit,835748,"detroit hip hop,g funk,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop,west coast rap",9,1996,M,Solo
754,Mase,361303,"gangster rap,hardcore hip hop,hip hop,hip pop,pop rap,r&b,rap,southern hip hop,urban contemporary",5,1997,M,Solo
755,Los Lonely Boys,46830,,11,2004,M,Group
756,Hoobastank,1267652,"alternative metal,funk metal,nu metal,pop punk,pop rock,post-grunge,rap rock",7,2001,M,Group
757,Duran Duran,1324964,"dance rock,new romantic,new wave,new wave pop,rock,soft rock,synthpop",15,1981,M,Group
758,Lil' Flip,272570,group,48,2000,M,Solo
759,Beenie Man,254754,"dancehall,reggae fusion,soca",38,1992,M,Solo
760,Vanessa Carlton,347073,"dance pop,folk-pop,lilith,neo mellow,piano rock,pop rock",8,2002,F,Solo
761,New Edition,758686,"boy band,dance pop,funk,hip pop,neo soul,new jack swing,quiet storm,r&b,urban contemporary",7,1983,M,Group
762,Nitty,64342,"bluegrass,country,country gospel,country rock,folk,folk rock,mellow gold,nashville sound,outlaw country,soft rock,traditional country,traditional folk",33,1967,M,Solo
763,Kevin Lyttle,52989,soca,4,2004,M,Solo
764,Counting Crows,921423,"alternative rock,neo mellow,pop rock,post-grunge,rock",17,1993,M,Group
765,Terri Clark,251596,"alberta country,canadian contemporary country,canadian country,contemporary country,country,country dawn,country road",14,1995,F,Solo
766,Julie Roberts,82800,"contemporary country,country,country dawn",5,2004,F,Solo
767,311,536265,"alternative metal,alternative rock,funk metal,funk rock,nu metal,pop rock,post-grunge,reggae fusion,rock",15,1993,M,Group
768,Slum Village,151412,"alternative hip hop,detroit hip hop,hardcore hip hop,hip hop,indie soul,neo soul,southern hip hop",21,1999,M,Group
769,Play,22458057,"permanent wave,pop",3,2003,F,Group
770,Mobb Deep,893379,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap",9,1993,M,Group
771,Jimmy Buffett,287321,"folk rock,mellow gold,soft rock",47,1970,M,Solo
772,Clint Black,421028,"contemporary country,country,country gospel,country road,country rock,outlaw country,traditional country",16,1989,M,Solo
773,Elephant Man,179825,"dancehall,old school dancehall,reggae fusion,riddim,soca",10,2000,M,Solo
774,Diana DeGarmo,4011,idol,3,2004,F,Solo
775,J,9417086,"conscious hip hop,hip hop,nc hip hop,pop rap,rap",9,2009,,
776,Alanis Morissette,1381563,"alternative rock,canadian pop,canadian singer-songwriter,folk-pop,pop rock,singer-songwriter",12,1995,F,Solo
777,Kimberley Locke,4093,idol,3,2004,F,Solo
778,John Michael Montgomery,476250,"contemporary country,country,country road,country rock",11,1994,M,Solo
779,Musiq,685302,"dance pop,hip hop,hip pop,neo soul,r&b,urban contemporary",11,2000,M,Solo
780,Seal,908494,"british soul,soft rock",16,1991,M,Solo
781,Maria Mena,156664,"candy pop,folk-pop,neo mellow,norwegian pop",8,2002,F,Solo
782,Dido,840097,"dance pop,new wave pop,pop rock",6,1999,F,Solo
783,Dilated Peoples,135956,"alternative hip hop,hardcore hip hop,hip hop,turntablism,west coast rap",6,2000,M,Solo
784,Buddy Jewell,30470,"contemporary country,country,country road",9,2001,M,Solo
785,Sugababes,322871,"australian pop,bubblegum dance,dance pop,europop,girl group,neo soul,pop,pop rock,post-teen pop",9,2000,F,Group
786,A Perfect Circle,971813,"alternative metal,alternative rock,modern rock,nu metal,post-grunge,rap rock,rock",9,2000,M,Group
787,Janet Jackson,1704008,"dance pop,hip pop,neo soul,new jack swing,pop,r&b,urban contemporary",12,1982,F,Solo
788,Lostprophets,119047,,6,2001,M,Group
789,Clay Aiken,31616,idol,7,2003,M,Solo
790,Carolyn Dawn Johnson,26499,"alberta country,canadian country,contemporary country,country,country dawn",4,2000,F,Solo
791,Limp Bizkit,2821672,"alternative metal,funk metal,nu metal,post-grunge,rap metal,rap rock,wrestling",9,1997,M,Group
792,Fuel,401975,"alternative metal,alternative rock,nu metal,pop rock,post-grunge,rap rock",5,1997,M,Group
793,Sarah Connor,302977,"europop,german pop",13,2001,F,Solo
794,Young Gunz,97397,philly rap,4,1997,M,Group
795,MercyMe,862851,"ccm,christian alternative rock,christian indie,christian music,worship",15,2001,M,Group
796,Westside Connection,569294,"g funk,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop,west coast rap",3,1996,M,Group
797,Nick Cannon,75366,pop rap,7,2003,M,Solo
798,Lasgo,59069,"belgian dance,belgian pop,eurodance,europop",6,2003,F,Solo
799,Mr. Vegas,198407,"azonto,dancehall,panamanian pop,reggae fusion,soca",14,1998,M,Solo
800,Trapt,640528,"alternative metal,nu metal,post-grunge,rap rock",10,2002,M,Group
801,Tracy Byrd,356958,"contemporary country,country,country road,country rock,outlaw country,redneck,traditional country",10,1993,F,Solo
802,Kylie Minogue,880207,"australian dance,australian pop,dance pop,disco house,electropop,eurodance,europop,new wave pop,pop,pop rock",25,1988,F,Solo
803,Murphy Lee,130041,"contemporary country,country,country road,country rock,modern country rock",4,1994,M,Solo
804,Big Tymers,300201,"crunk,dirty south rap,gangster rap,hip hop,new orleans rap,pop rap,rap,southern hip hop,trap music",6,1998,M,Group
805,Mya,661113,"dance pop,deep pop r&b,hip pop,neo soul,pop,r&b,rap,urban contemporary",11,1998,F,Solo
806,B2K,384220,"boy band,dance pop,hip pop,pop rap,r&b,southern hip hop,urban contemporary",3,2000,M,Group
807,Liz Phair,77360,"alternative pop,alternative rock,candy pop,folk,folk-pop,indie rock,lilith,new wave pop,permanent wave,pop rock",7,1993,F,Solo
808,Stacie Orrico,151601,"candy pop,dance pop,europop",3,2000,F,Solo
809,Fountains Of Wayne,90123,"pop rock,power pop",5,1996,M,Group
810,Barenaked Ladies,387505,"canadian indie,canadian pop,canadian rock,comic,pop rock,post-grunge",62,1992,M,Group
811,Live,1611685,"ccm,russian ccm,world worship,worship",12,1991,M,Group
812,Fefe Dobson,63653,"canadian pop,candy pop,post-teen pop",3,2003,F,Solo
